1|10,23,29,33,37,40|16|2002-12-07
2|9,13,21,25,32,42|2|2002-12-14
3|11,16,19,21,27,31|30|2002-12-21
4|14,27,30,31,40,42|2|2002-12-28
1030|2,5,11,17,24,29|9|2022-08-27
1031|6,7,22,32,35,36|19|2022-09-03
1032|1,6,12,19,36,42|28|2022-09-10
1033|3,11,15,20,35,44|10|2022-09-17
1034|26,31,32,33,38,40|11|2022-09-24
1035|9,14,34,35,41,42|2|2022-10-01
1036|2,5,22,32,34,45|39|2022-10-08
1037|2,14,15,22,27,33|31|2022-10-15
1038|7,16,24,27,37,44|2|2022-10-22
1039|2,3,6,19,36,39|26|2022-10-29
1040|8,16,26,29,31,36|11|2022-11-05
1041|6,7,9,11,17,18|45|2022-11-12
1042|5,14,15,23,34,43|4|2022-11-19
1043|3,5,12,22,26,31|19|2022-11-26
1044|12,17,20,26,28,36|4|2022-12-03
1045|6,14,15,19,21,41|37|2022-12-10
1046|7,16,25,29,35,36|28|2022-12-17
1047|2,20,33,40,42,44|32|2022-12-24
1048|6,12,17,21,32,39|30|2022-12-31
1049|3,5,13,20,21,37|17|2023-01-07
1050|6,12,31,35,38,43|17|2023-01-14
1051|21,26,30,32,33,35|44|2023-01-21
1052|5,17,26,27,35,38|1|2023-01-28
1053|22,26,29,30,34,45|15|2023-02-04
1054|14,19,27,28,30,45|33|2023-02-11
1055|4,7,12,14,22,33|31|2023-02-18
1056|13,20,24,32,36,45|29|2023-02-25
1057|8,13,19,27,40,45|12|2023-03-04
1058|11,23,25,30,32,40|42|2023-03-11
1059|7,10,22,25,34,40|27|2023-03-18
1060|3,10,24,33,38,45|36|2023-03-25
1061|4,24,27,35,37,45|15|2023-04-01
1062|20,31,32,40,41,45|12|2023-04-08
1063|3,6,22,23,24,38|30|2023-04-15
1064|3,6,9,18,22,35|14|2023-04-22
1065|3,18,19,23,32,45|24|2023-04-29
1066|6,11,16,19,21,32|45|2023-05-06
1067|7,10,19,23,28,33|18|2023-05-13
1068|4,7,19,26,33,35|3|2023-05-20
1069|1,10,18,22,28,31|44|2023-05-27
1070|3,6,14,22,30,41|36|2023-06-03
1071|1,2,11,21,30,35|39|2023-06-10
1072|16,18,20,23,32,43|27|2023-06-17
1073|6,18,28,30,32,38|15|2023-06-24
1074|1,6,20,27,28,41|15|2023-07-01
1075|1,23,24,35,44,45|10|2023-07-08
1076|3,7,9,33,36,37|10|2023-07-15
1077|4,8,17,30,40,43|34|2023-07-22
1078|6,10,11,14,36,38|43|2023-07-29
1079|4,8,18,24,37,45|6|2023-08-05
1080|13,16,23,31,36,44|38|2023-08-12
1081|1,9,16,23,24,38|17|2023-08-19
1082|21,26,27,32,34,42|31|2023-08-26
1083|3,7,14,15,22,38|17|2023-09-02
1084|8,12,13,29,33,42|5|2023-09-09
1085|4,7,17,18,38,44|36|2023-09-16
1086|11,16,25,27,35,36|37|2023-09-23
1087|13,14,18,21,34,44|16|2023-09-30
1088|11,21,22,30,39,44|31|2023-10-07
1089|4,18,31,37,42,43|40|2023-10-14
1090|12,19,21,29,40,45|1|2023-10-21
1091|6,20,23,24,28,30|44|2023-10-28
1092|7,18,19,26,33,45|37|2023-11-04
1093|10,17,22,30,35,43|44|2023-11-11
1094|6,7,15,22,26,40|41|2023-11-18
1095|8,14,28,29,34,40|12|2023-11-25
1096|1,12,16,19,23,43|34|2023-12-02
1097|14,33,34,35,37,40|4|2023-12-09
1098|12,16,21,24,41,43|15|2023-12-16
1099|3,20,28,38,40,43|4|2023-12-23
1100|17,26,29,30,31,43|12|2023-12-30
1101|6,7,13,28,36,42|41|2024-01-06
1102|13,14,22,26,37,38|20|2024-01-13
1103|10,12,29,31,40,44|2|2024-01-20
1104|1,7,21,30,35,38|2|2024-01-27
1105|6,16,34,37,39,40|11|2024-02-03
1106|1,3,4,29,42,45|36|2024-02-10
1107|6,14,30,31,40,41|29|2024-02-17
1108|7,19,26,37,39,44|27|2024-02-24
1109|10,12,13,19,33,40|2|2024-03-02
1110|3,7,11,20,22,41|24|2024-03-09
1111|3,13,30,33,43,45|4|2024-03-16
1112|16,20,26,36,42,44|24|2024-03-23
